Categories,Exercise,Exercise Instructions (step by step),Exercise Tips,Primary Activating Muscles,Secondary Activating Muscles,Equipment
,Barbell Side Step Up_Female,,,,,
,Barbell Silverback Shrug,"1. Stand with your feet shoulder-width apart, holding a barbell with both hands using an overhand grip (palms down). Your hands should be shoulder-width apart. Bend your knees slightly and hinge forward at the hips, keeping your back straight and your torso at 45 degrees to the ground.
2. Start with your arms fully extended, letting the barbell hang directly below your shoulders.
3. Shrug your shoulders upward to your ears. Focus on squeezing your shoulder blades together at the top of the movement.
4. Slowly lower your shoulders back to the starting position. Repeat the movement for the desired repetitions.","1. Maintain a neutral spine and avoid rounding your back during the exercise to prevent injury.
2. Engage your core to stabilize your torso and maintain balance throughout the movement.
3. Breathe steadily, exhaling as you shrug your shoulders upward and inhaling as you lower them back down.
","Upper Back (Trapezius, Rhomboids)",Shoulders (Deltoids),
,Barbell Silverback Shrug_Female,"1. Stand with your feet shoulder-width apart, holding a barbell with both hands using an overhand grip (palms down). Your hands should be shoulder-width apart. Bend your knees slightly and hinge forward at the hips, keeping your back straight and your torso at 45 degrees to the ground.
2. Start with your arms fully extended, letting the barbell hang directly below your shoulders.
3. Shrug your shoulders upward to your ears. Focus on squeezing your shoulder blades together at the top of the movement.
4. Slowly lower your shoulders back to the starting position. Repeat the movement for the desired repetitions.","1. Maintain a neutral spine and avoid rounding your back during the exercise to prevent injury.
2. Engage your core to stabilize your torso and maintain balance throughout the movement.
3. Breathe steadily, exhaling as you shrug your shoulders upward and inhaling as you lower them back down.
","Upper Back (Trapezius, Rhomboids)",Shoulders (Deltoids),
Free Weights,Barbell single arm biceps curl,"1. Stand with your feet shoulder-width apart, holding a barbell with one hand using an underhand grip (palm facing up). Let the barbell hang at arm's length by your side.
2. Curl the barbell upward towards your shoulder by bending your elbow, focusing on engaging your biceps.
3. Squeeze your biceps at the top of the movement, ensuring the barbell reaches shoulder height.
4. Lower the barbell back to the starting position with control, fully extending your arm. Repeat for the desired number of repetitions, then switch to the other arm.","1. Keep your upper arm stationary to isolate the biceps effectively.
2. Perform the movement slowly and with control to maximize muscle engagement and prevent injury.
3. Avoid using momentum by swinging your body or arm; focus on controlled movement.",Biceps (Biceps Brachii),"Forearms (Brachioradialis, Brachialis)",Barbell
Free Weights,Barbell single leg deadlift,"1. Stand with your feet hip-width apart, holding a barbell with both hands using an overhand grip (palms facing down). Keep your back straight and your core engaged.
2. Shift your weight to your right leg and lift your left leg behind you, keeping it straight. Allow the barbell to hang down, keeping your arms straight naturally.
3. Lower the barbell until your torso is almost parallel to the floor and your left leg is extended behind you in a straight line. Keep your right knee slightly bent.
4. Lift your torso back to the starting position. Repeat for the desired repetitions, then switch to the other leg.","1. Perform the movement slowly and with control to maximize muscle engagement and prevent injury.
2. Focus on balance by keeping your supporting leg steady and your movements controlled.
3. Breathe steadily, exhaling as you lower the barbell and inhaling as you return to the starting position.","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Glutes (gluteus maximus, gluteus mideus)",Lower Back (Erector Spinae),Barbell
Free Weights,Barbell single leg split squat,"1. Stand with your feet hip-width apart, holding a barbell across your upper back with an overhand grip, hands slightly wider than shoulder-width apart. Position one foot behind you on a bench, and the other foot firmly planted on the floor.
2. Lower your body by bending your front knee, allowing your back knee to drop towards the floor.
3. Continue lowering until your front thigh is parallel to the floor and your back knee is close to the floor.
4. Push through your front heel to return to the starting position. Repeat for the desired number of repetitions, then switch to the other leg.","1. Keep your chest up and avoid leaning forward to maintain an upright posture.
2. Ensure your front knee aligns with your foot to prevent strain on your knee joint.
3. Perform the movement slowly and with control to maximize muscle engagement and prevent injury.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Calves (Gastrocnemius, Soleus)",Barbell
,Barbell Situp,,,,,
,Barbell Situp_Female,,,,,
Free Weights,Barbell Smith Chest Press_Female,"1. Lie on a flat bench positioned under the smith machine barbell, with your feet flat on the floor and your back pressed firmly against the bench. Grip the barbell with an overhand grip (palms facing forward), hands slightly wider than shoulder-width apart.
2. Unrack the barbell by extending your arms straight up. Having the barbell over your chest with your elbows slightly bent.
3. Lower the barbell towards your chest by bending your elbows, ensuring the barbell follows a straight path and your elbows are at a 45-degree angle to your torso.
4. Push the barbell back up to the starting position by extending your elbows, fully engaging your chest muscles. Repeat for the desired number of repetitions.","1. Keep your movements slow and controlled to maximize muscle engagement and prevent injury.
2. Maintain a 45-degree angle with your elbows to effectively target your chest muscles.
3. Avoid locking out your elbows at the top of the movement to keep tension on your chest.",Chest (Pectoralis Major),Triceps (Triceps Brachii),Smith machine
Free Weights,Barbell snatch,"1. Start in a squat position with your feet shoulder-width apart, toes pointed slightly outward. Hold the barbell with a wide overhand grip (palms facing down), hands placed wider than shoulder-width apart. The barbell should be on the floor, close to your shins.
2. Explosively extend your hips, knees, and ankles while pulling the barbell upward in one smooth motion. Keeping the barbell close to your body as you lift.
3. As the barbell reaches chest height, quickly drop into a squat position and catch the barbell overhead with your arms fully extended.
4. Stand up by extending your hips and knees, keeping the barbell overhead. Lower the barbell back to the starting position with control. Repeat for the desired number of repetitions.","1. Explode through your hips and knees to generate the power needed for the lift.
2. Drop quickly into the squat to catch the barbell overhead in a stable position.
3. Use a weight that allows for proper form and control throughout the exercise to prevent strain or injury.","Shoulders (Deltoids), Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Upper Back (Trapezius), Lower Back (Erector Spinae)",Barbell
Free Weights,Barbell snatch balance,"1. Stand with your feet shoulder-width apart, holding a barbell across your upper back with an overhand grip, hands placed wider than shoulder-width apart. Your feet should be in a slight squat stance.
2. Dip slightly by bending your knees and hips, then quickly drive upwards, extending your knees and hips.
3. As you extend, use the upward momentum to press the barbell overhead while simultaneously dropping into a deep squat position, catching the barbell with your arms fully extended overhead.
4. Stand up by extending your hips and knees, keeping the barbell overhead. Lower the barbell back to the starting position with control. Repeat for the desired number of repetitions.","1. Explode through your hips and knees to generate the power needed for the lift.
2. Drop quickly into the squat to catch the barbell overhead in a stable position.
3. Use a weight that allows for proper form and control throughout the exercise to prevent strain or injury.","Shoulders (Deltoids), Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Upper Back (Trapezius), Lower Back (Erector Spinae)",Barbell
Free Weights,Barbell snatch deadlift close grip,"1. Start in a squat position with your feet shoulder-width apart, toes pointed slightly outward. Hold the barbell with an overhand grip (palms facing down), hands placed slightly wider than shoulder-width apart. The barbell should be on the floor, close to your shins.
2. Lift the barbell off the floor by extending your hips and knees simultaneously, keeping the barbell close to your body.
3. Continue lifting until you are standing upright with the barbell at hip level.
4. Lower the barbell back to the starting position with control, bending your hips and knees. Repeat for the desired number of repetitions.","1. Keep your back straight and avoid rounding your shoulders to ensure proper form.
2. Keep the barbell close to your body throughout the lift to maximize efficiency and control.
3. Focus on smooth, controlled movements to maximize muscle engagement and prevent injury.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus), Lower Back (Erector Spinae)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Upper Back (Trapezius, Rhomboids)",Barbell
Free Weights,Barbell snatch deadlift wide grip,"1. Start in a squat position with your feet shoulder-width apart, toes pointed slightly outward. Hold the barbell with an overhand grip (palms facing down), hands placed about 2 fists wider than shoulder-width apart. The barbell should be on the floor, close to your shins.
2. Lift the barbell off the floor by extending your hips and knees simultaneously, keeping the barbell close to your body.
3. Continue lifting until you are standing upright with the barbell at hip level.
4. Lower the barbell back to the starting position with control, bending your hips and knees. Repeat for the desired number of repetitions.","1. Keep your back straight and avoid rounding your shoulders to ensure proper form.
2. Keep the barbell close to your body throughout the lift to maximize efficiency and control.
3. Focus on smooth, controlled movements to maximize muscle engagement and prevent injury.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus), Lower Back (Erector Spinae)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Upper Back (Trapezius, Rhomboids)",Barbell
Free Weights,Barbell snatch from blocks,"1. Start in a squat position with your feet shoulder-width apart, toes pointed slightly outward. Place the barbell on blocks positioned at knee height. Hold the barbell with a wide overhand grip (palms facing down), hands placed wider than shoulder-width apart.
2. Lift the barbell off the blocks by extending your hips and knees simultaneously, keeping the barbell close to your body.
3. As the barbell reaches hip level, explosively extend your hips, knees, and ankles while pulling the barbell upward in one smooth motion. Quickly drop into a squat position and catch the barbell overhead with your arms fully extended.
4. Stand up by extending your hips and knees, keeping the barbell overhead. Lower the barbell back to the blocks with control. Repeat for the desired number of repetitions.","1. Explode through your hips and knees to generate the power needed for the lift.
2. Drop quickly into the squat to catch the barbell overhead in a stable position.
3. Use a weight that allows for proper form and control throughout the exercise to prevent strain or injury.","Shoulders (Deltoids), Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Upper Back (Trapezius), Lower Back (Erector Spinae)",Barbell
Free Weights,Barbell snatch pull,"1. Start in a squat position with your feet shoulder-width apart, toes pointed slightly outward. Hold the barbell with a wide overhand grip (palms facing down), hands placed wider than shoulder-width apart. The barbell should be on the floor, close to your shins.
2. Lift the barbell off the floor by extending your hips and knees simultaneously, keeping the barbell close to your body.
3. As the barbell reaches hip level, explosively extend your hips, knees, and ankles while pulling the barbell upward. Focusing on pulling the barbell up to abdomen height by driving your elbows upward and outward.
4. Lower the barbell back to the starting position with control, bending your hips and knees. Repeat for the desired number of repetitions.","1. Keep the barbell close to your body throughout the lift to maximize efficiency and control.
2. Explode through your hips and knees to generate the power needed for the lift.
3. Focus on a strong, controlled pull to ensure proper form and muscle engagement.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Shoulders (Deltoids), Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Upper Back (Trapezius, Rhomboids), Lower Back (Erector Spinae)",Barbell
Free Weights,Barbell split clean,"1. Start in a squat position with your feet shoulder-width apart, toes pointed slightly outward. Hold the barbell with an overhand grip (palms facing down), hands placed slightly wider than shoulder-width apart. The barbell should be on the floor, close to your shins.
2. Lift the barbell off the floor by extending your hips and knees simultaneously, keeping the barbell close to your body.
3. As the barbell reaches hip level, explosively extend your hips, knees, and ankles while pulling the barbell upward. Quickly drop into a split stance, with one foot forward and the other foot back, catching the barbell at shoulder height with your elbows pointing forward.
4. Stand up by bringing your feet back together, keeping the barbell at shoulder height. Lower the barbell back to the starting position with control. Repeat for the desired number of repetitions.","1. Keep the barbell close to your body throughout the lift to maximize efficiency and control.
2. Explode through your hips and knees to generate the power needed for the lift.
3. Quickly transition into the split stance to catch the barbell in a stable position.","Shoulders (Deltoids), Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Upper Back (Trapezius, Rhomboids), Lower Back (Erector Spinae)",Barbell
Free Weights,Barbell split jerk,"1. Start in a standing position with your feet shoulder-width apart, holding the barbell at shoulder height with an overhand grip (palms facing forward), hands placed slightly wider than shoulder-width apart. Your elbows should be pointing slightly forward, and your chest should be up.
2. Engage your core, dip slightly by bending your knees and hips, then explosively extend your knees and hips to drive the barbell overhead.
3. As you drive the barbell up, quickly split your feet into a lunge position with one foot forward and the other foot back, catching the barbell overhead with your arms fully extended and your torso upright.
4. Stand up by bringing your feet back together, keeping the barbell overhead. Lower the barbell back to shoulder height with control. Repeat for the desired number of repetitions.","1. Use your legs to drive the barbell up by explosively extending your hips and knees.
2. Quickly transition into the split stance to catch the barbell in a stable position.
3. Maintain a neutral spine and keep your chest up throughout the movement.","Shoulders (Deltoids), Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Upper Back (Trapezius, Rhomboids), Lower Back (Erector Spinae)",Barbell
Free Weights,Barbell split squat,"1. Stand tall with a barbell placed across your upper back and your feet positioned in a split stance, one foot forward and the other extended behind.
2. Lower your body by bending both knees until your back knee nearly touches the floor and your front thigh is parallel to the floor. Keep your front knee aligned with your front foot.
3. Push through your front heel to return to the starting position, extending both knees fully.
4. Repeat for the desired number of repetitions, then switch to the other leg.","1. Ensure your front knee aligns with your foot to prevent strain on your knee joint.
2. Perform the movement slowly and with control to maximize muscle engagement and prevent injury.
3. Breathe steadily, exhaling as you lower into the squat and inhaling as you return to the starting position.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Calves (Gastrocnemius, Soleus)",Barbell
,Barbell Spoto Press,,,,,
,Barbell Spoto Press_Female,,,,,
,Barbell squat back POV,,,,,
Free Weights,Barbell squat to grass,"1. Stand with your feet shoulder-width apart, holding a barbell across your upper back with an overhand grip, hands slightly wider than shoulder-width apart. Your feet should be pointed slightly outward.
2. Begin the squat by pushing your hips back and bending your knees, lowering your body as far down as possible, aiming to get your hips below your knees.
3. Push through your heels to return to the starting position, extending your hips and knees fully. Repeat for the desired number of repetitions.","1. Ensure your knees align with your toes to prevent strain on your knee joints.
2. Descend slowly and with control to maximize muscle engagement and prevent injury.
3. Breathe steadily, exhaling as you lower into the squat and inhaling as you return to the starting position.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Calves (Gastrocnemius, Soleus)",Barbell
Free Weights,Barbell squat with 2 sec hold,"1. Stand with your feet shoulder-width apart, holding a barbell across your upper back with an overhand grip, hands slightly wider than shoulder-width apart. Your feet should be pointed slightly outward.
2. Begin the squat by pushing your hips back and bending your knees, lowering your body as far down as possible, aiming to get your hips below your knees and pause for 2 seconds.
3. Push through your heels to return to the starting position, extending your hips and knees fully. Repeat for the desired number of repetitions.","1. Ensure your knees align with your toes to prevent strain on your knee joints.
2. Descend slowly and with control to maximize muscle engagement and prevent injury.
3. Breathe steadily, exhaling as you lower into the squat and inhaling as you return to the starting position.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Calves (Gastrocnemius, Soleus)",Barbell
,Barbell Staggered Deadlift,"1. Stand with a barbell in front of your thighs and adopt a staggered stance, placing one foot slightly behind the other with your toes aligned and both feet flat on the ground.
2. Grip the barbell with both hands just outside your thighs and keep your arms straight, chest lifted, and spine neutral.
3. Hinge at the hips and lower the barbell down along your front leg, keeping your back straight and shoulders pulled back.
4. Once you reach just below your knees or mid-shin, push through your front heel and engage your glutes and hamstrings to return to the starting position.","1. Maintain a neutral spine throughout the movement to avoid lower back strain.
2. Keep the barbell close to your legs as you lower and lift to maintain proper form.
3. Focus on hinging at the hips, not bending at the knees excessively.
","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Glutes (Gluteus Maximus)",Lower Back (Erector Spinae),Barbell
,Barbell Staggered Deadlift_Female,,,,,
Free Weights,Barbell standing back wrist curl,"1. Stand with your feet shoulder-width apart, holding a barbell behind your back with an overhand grip (palms facing backward), hands slightly wider than shoulder-width apart. Your arms should be fully extended, and the barbell should rest against your glutes.
2. Flex your wrists to curl the barbell upward, bringing the barbell toward your forearms.
3. Hold the contraction at the top for a moment, squeezing your forearm muscles.
4. Slowly lower the barbell back to the starting position by extending your wrists. Repeat for the desired number of repetitions.","1. Avoid using your arms or shoulders to lift the barbell; focus on your wrist movement.
2. Breathe steadily, exhaling as you curl the barbell up and inhaling as you lower it back down.
3. Use a weight that allows for proper form and control throughout the exercise to prevent strain or injury.","Forearms (Extensor Carpi Radialis, Extensor Carpi Ulnaris)","Grip Muscles (Flexor Digitorum Superficialis, Flexor Digitorum Profundus)",Barbell
Free Weights,Barbell standing close grip curl,"1. Stand with your feet shoulder-width apart, holding a barbell with an underhand grip (palms facing up), hands placed slightly closer  than shoulder-width apart. Your arms should be fully extended, and the barbell should rest against your thighs.
2. Curl the barbell upward by bending your elbows, bringing the barbell toward your shoulders. Keep your elbows close to your torso throughout the movement.
3. Hold the contraction at the top for a moment, squeezing your biceps.
4. Slowly lower the barbell back to the starting position by extending your arms. Repeat for the desired number of repetitions.","1. Keep your elbows stationary and close to your torso throughout the movement to isolate your biceps.
2. Focus on smooth, controlled movements to maximize muscle engagement and prevent injury.
3. Breathe steadily, exhaling as you curl the barbell up and inhaling as you lower it back down.
4. Avoid using momentum or swinging your body to lift the barbell.",Biceps (Biceps Brachii),Forearms (Brachioradialis),Barbell
Free Weights,Barbell standing close grip military press,"1. Stand with your feet shoulder-width apart, holding a barbell with an overhand grip (palms facing forward), hands placed at shoulder-width apart. The barbell should be at chest height.
2. Press the barbell overhead by extending your arms fully, making sure to keep the bar path straight and close to your body.
3. Hold the barbell overhead for a moment and slowly lower the barbell back to the starting position at chest height. Repeat for the desired number of repetitions.","1. Avoid arching your back by maintaining a neutral spine throughout the movement.
2. Breathe steadily, exhaling as you press the barbell overhead and inhaling as you lower it back down.
3. Keep your elbows slightly in front of your body at the starting position to avoid shoulder strain.",Shoulders (Anterior Deltoids),Triceps (Triceps Brachii),Barbell
Free Weights,Barbell standing concentration curl,"1. Stand with your feet shoulder-width apart, holding a barbell with an underhand grip (palms facing up), hands placed about shoulder-width apart. Your arms should be fully extended, and the barbell should rest against your thighs.
2. Engage your core, keep your chest up, and maintain a neutral spine. Slightly bend forward from your hips and allow your elbows to hang close to your knees.
3. Curl the barbell upward by bending your elbows, bringing the barbell toward your shoulders. Keep your elbows stationary against your thighs to isolate your biceps.
4. Hold the contraction at the top for a moment, squeezing your biceps. Slowly lower the barbell back to the starting position by extending your arms. Repeat for the desired number of repetitions.","1. Focus on smooth, controlled movements to maximize muscle engagement and prevent injury.
2. Breathe steadily, exhaling as you curl the barbell up and inhaling as you lower it back down.
3. Avoid using momentum or swinging your body to lift the barbell.",Biceps (Biceps Brachii),Forearms (Brachioradialis),Barbell
,Barbell standing leg calf raise,,,,,
Free Weights,Barbell standing leg calf raises,"1. Stand on a step with your feet shoulder-width apart, holding a barbell across your upper back with an overhand grip, hands slightly wider than shoulder-width apart. Your forefeet should be on the edge of the step, and your heels should hang off.
2. Raise your heels as high as possible by extending your ankles, lifting your body upward.
3. Hold the top position for a moment, feeling the contraction in your calf muscles.
4. Slowly lower your heels back down below the level of the step, stretching your calves. Repeat for the desired number of repetitions.","1. Keep your movements slow and controlled to maximize muscle engagement and prevent injury.
2. Focus on using your calf muscles to lift your body, avoiding bouncing or using momentum.
3. Breathe steadily, exhaling as you raise your heels and inhaling as you lower them back down.
4. Ensure your heels drop below the level of the step to achieve a full range of motion and effective stretch.","Calves (Gastrocnemius, Soleus)",Anterior Tibialis (Tibialis anticus),Barbell
Free Weights,Barbell standing military press,"1. Stand with your feet shoulder-width apart, holding a barbell with an overhand grip (palms facing forward), hands placed slightly wider than shoulder-width apart. The barbell should be at chest height.
2. Press the barbell overhead by extending your arms fully, making sure to keep the bar path straight and close to your body.
3. Hold the barbell overhead for a moment, ensuring your arms are fully extended and your shoulders are engaged.
4. Slowly lower the barbell back to the starting position at chest height. Repeat for the desired number of repetitions.","1. Avoid arching your back by maintaining a neutral spine throughout the movement.
2. Breathe steadily, exhaling as you press the barbell overhead and inhaling as you lower it back down.
3. Keep your elbows slightly in front of your body at the starting position to avoid shoulder strain.","Shoulders (Deltoids), Triceps (Triceps Brachii)",Upper Chest (Clavicular Head of Pectoralis Major),Barbell
Free Weights,Barbell standing overhead triceps extension,"1. Stand with your feet shoulder-width apart, holding a barbell with an overhand grip (palms facing forward), hands placed closer than shoulder-width apart. Lift the barbell overhead, fully extending your arms. Your elbows should be close to your head.
2. Slowly lower the barbell behind your head by bending your elbows, keeping your upper arms stationary.
3. Lower the barbell until your forearms are parallel to the floor, feeling the stretch in your triceps.
4. Press the barbell back up to the starting position by extending your arms fully. Repeat for the desired number of repetitions.","1. Keep your upper arms stationary and close to your head throughout the movement to isolate your triceps.
2. Focus on smooth, controlled movements to maximize muscle engagement and prevent injury.
3. Use a weight that allows for proper form and control throughout the exercise to prevent strain or injury.",Triceps (Triceps Brachii),Shoulders (Deltoids),Barbell
Free Weights,Barbell standing shoulder press,"1. Stand with your feet shoulder-width apart, holding a barbell with an overhand grip (palms facing forward), hands placed slightly wider than shoulder-width apart. The barbell should be at chest height.
2. Press the barbell overhead by extending your arms fully, keeping your elbows outwards.
3. Hold the barbell overhead for a moment, ensuring your arms are fully extended and your shoulders are engaged.
4. Slowly lower the barbell back to the starting position at chest height. Repeat for the desired number of repetitions.","1. Avoid arching your back by maintaining a neutral spine throughout the movement.
2. Breathe steadily, exhaling as you press the barbell overhead and inhaling as you lower it back down.
3. Keep your elbows slightly in front of your body at the starting position to avoid shoulder strain.","Shoulders (Anterior Deltoids), Triceps (Triceps Brachii)",Upper Chest (Clavicular Head of Pectoralis Major),Barbell
Free Weights,Barbell standing twist,"1. Stand with your feet shoulder-width apart, holding a barbell across your upper back with an overhand grip, hands slightly wider than shoulder-width apart.
2. Rotate your torso to the right, keeping your hips and knees aligned with the movement.
3. Rotate back to the center position with control, then twist your torso to the left.
4. Continue alternating sides, repeating for the desired number of repetitions.","1. Rotate your torso, not just your arms, to effectively engage your oblique muscles.
2. Breathe steadily, exhaling as you twist and inhaling as you return to the center position.
3. Use a weight that allows for proper form and control throughout the exercise to prevent strain or injury.","Obliques (External Oblique, Internal Oblique)","Abdominals (Rectus Abdominis), Lower Back (Erector Spinae)",Barbell
Free Weights,Barbell standing wide grip biceps curls,"1. Stand with your feet shoulder-width apart, holding a barbell with an underhand grip (palms facing up), hands placed wider than shoulder-width apart. Your arms should be fully extended, and the barbell should rest against your thighs.
2. Curl the barbell upward by bending your elbows, bringing the barbell toward your shoulders. Keep your elbows close to your torso throughout the movement.
3. Hold the contraction at the top for a moment, squeezing your biceps.
4. Slowly lower the barbell back to the starting position by extending your arms. Repeat for the desired number of repetitions.","1. Keep your elbows stationary and close to your torso throughout the movement to isolate your biceps.
2. Focus on smooth, controlled movements to maximize muscle engagement and prevent injury.
3. Avoid using momentum or swinging your body to lift the barbell.
",Biceps (Biceps Brachii),Forearms (Brachioradialis),Barbell
Free Weights,Barbell standing wide grip military press,"1. Stand with your feet shoulder-width apart, holding a barbell with an overhand grip (palms facing forward), hands placed  2 fists wider than shoulder-width apart. The barbell should be at chest height.
2. Press the barbell overhead by extending your arms fully, making sure to keep the bar path straight and close to your body.
3. Hold the barbell overhead for a moment, ensuring your arms are fully extended and your shoulders are engaged.
4. Slowly lower the barbell back to the starting position at chest height. Repeat for the desired number of repetitions.","1. Avoid arching your back by maintaining a neutral spine throughout the movement.
2. Breathe steadily, exhaling as you press the barbell overhead and inhaling as you lower it back down.
3. Keep your elbows slightly in front of your body at the starting position to avoid shoulder strain.","Shoulders (Anterior Deltoids), Triceps (Triceps Brachii)",Upper Chest (Clavicular Head of Pectoralis Major),Barbell
,Barbell Step Up Balance On Box,"1. Stand facing a box with a barbell resting on your upper back and your feet hip-width apart.
2. Step up onto the box with one foot, driving through the heel and extending your leg to lift your body up.
3. As you rise, bring the opposite knee up until your thigh is parallel to the ground, balancing momentarily at the top.
4. Lower the raised leg back down with control, then step off the box to return to the starting position.","1. Focus your eyes forward to help maintain balance.
2. Step up with control, not momentum, to properly engage your muscles.
3. Push through the heel of your leading foot, not the toes.","Quadriceps (Quadriceps Femoris), Glutes (Gluteus Maximus)","Hamstrings (Biceps Femoris), Calves (Gastrocnemius)",Barbell
,Barbell Step Up Balance On Box_Female,,,,,
Free Weights,Barbell step up on bench,"1. Stand facing a bench with your feet shoulder-width apart, holding a barbell across your upper back with an overhand grip, hands slightly wider than shoulder-width apart.
2. Step up onto the bench with your right foot, pressing through your heel to lift your body up.
3. Bring your left foot up to meet your right foot on the bench, standing fully upright.
4. Step back down with your left foot, followed by your right foot, returning to the starting position. Repeat the movement, alternating the leading leg, for the desired number of repetitions.","1. Push through your heel of the leading foot to maximize glute and quadriceps activation.
2. Breathe steadily, exhaling as you step up and inhaling as you step down.
3. Use a weight that allows for proper form and control throughout the exercise to prevent strain or injury.
4. Ensure the bench is stable and secure to prevent any movement during the exercise.","Quadriceps (Quadriceps Femoris), Glutes (gluteus maximus, gluteus mideus)","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Calves (Gastrocnemius, Soleus)",Barbell
Free Weights,Barbell stiff leg deadlift,"1. Stand with your feet shoulder-width apart, holding a barbell with an overhand grip (palms facing down), hands placed slightly wider than shoulder-width apart. Your arms should be fully extended, and the barbell should rest against your thighs.
2. Slightly bend your knees and hinge at your hips to lower the barbell toward your feet. Keep your legs mostly straight but not locked.
3. Lower the barbell down the front of your legs until you feel a stretch in your hamstrings. Your back should remain straight throughout the movement.
4. Lift the barbell back up to the starting position by extending your hips, squeezing your glutes at the top. Repeat for the desired number of repetitions.","1. Keep your back straight throughout the movement to avoid rounding your spine.
2. Focus on hinging at your hips rather than bending your lower back.
3. Ensure your knees are slightly bent to avoid locking them and putting stress on your joints.","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Glutes (gluteus maximus, gluteus mideus)",Lower Back (Erector Spinae),Barbell
Free Weights,Barbell straight leg deadlift,"1. Stand with your feet shoulder-width apart, holding a barbell with an overhand grip (palms facing down), hands placed slightly wider than shoulder-width apart. Your arms should be fully extended, and the barbell should rest against your thighs.
2. Keep your legs straight but not locked as you hinge at your hips to lower the barbell toward your feet.
3. Lower the barbell down the front of your legs until you feel a stretch in your hamstrings. Your back should remain straight throughout the movement.
4. Lift the barbell back up to the starting position by extending your hips, squeezing your glutes at the top. Repeat for the desired number of repetitions.","1. Keep your back straight throughout the movement to avoid rounding your spine.
2. Focus on hinging at your hips rather than bending your lower back.
3. Ensure your knees are slightly bent to avoid locking them and putting stress on your joints.","Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Glutes (gluteus maximus, gluteus mideus)",Lower Back (Erector Spinae),Barbell
Free Weights,Barbell sumo deadlift,"1. Stand with your feet wider than shoulder-width apart and your toes pointing slightly outward. Position a barbell on the floor in front of you, and squat down to grip the barbell with both hands inside your legs, using an overhand grip (palms facing down).
2. Drive through your heels and extend your hips and knees simultaneously to lift the barbell off the floor. Keep the barbell close to your body and your arms straight as you stand up.
3. Once you reach the top position, squeeze your glutes and stand tall. Slowly lower the barbell back to the floor by bending at the hips and knees, maintaining a straight back. Repeat for the desired number of repetitions.
","1. Keep your chest up and back straight throughout the movement to avoid rounding your spine.
2. Drive through your heels to lift the barbell and engage your glutes and hamstrings.
3. Breathe steadily, exhaling as you lift the barbell and inhaling as you lower it back down.","Glutes (gluteus maximus, gluteus mideus), Hamstrings (Biceps Femoris, Semitendinosus, Semimembranosus), Quadriceps (Quadriceps Femoris)","Adductors (Adductor Magnus, Adductor Longus), Lower Back (Erector Spinae)",Barbell
